1,16437.47,226-01-3299,Virtual empowering capability,2015-04-22,2014-06-22
2,3544.36,572-97-5628,Focused global help-desk,2016-11-05,2015-08-08
3,3341.98,537-85-1919,Profit-focused bottom-line policy,2017-05-09,2014-01-05
4,12393.23,814-37-9988,Customizable secondary complexity,2012-10-25,2014-01-13
5,170.31,521-02-7237,Upgradable foreground policy,2016-08-23,2016-05-23
6,14648.13,278-33-3875,Profit-focused asynchronous Graphic Interface,2017-02-27,2016-03-25
7,1769.24,878-56-2435,Enhanced leading edge strategy,2015-02-11,2014-12-10
8,17839.83,396-80-9928,Business-focused demand-driven emulation,2012-09-08,2014-10-29
9,421.51,478-42-6816,Programmable zero defect strategy,2014-03-30,2014-12-26
10,17838.00,432-98-9311,Secured analyzing concept,2014-12-22,2017-04-17
11,2407.55,686-26-1618,Digitized systemic database,2015-06-12,2013-12-05
12,13368.71,665-72-7702,Open-source context-sensitive initiative,2014-01-12,2015-08-29
13,12217.35,578-80-0415,Future-proofed user-facing time-frame,2013-02-12,2012-10-17
14,11410.95,211-92-6407,Profit-focused dedicated software,2013-06-07,2016-12-15
15,16878.79,375-15-5750,Extended zero defect strategy,2016-01-08,2015-04-03
16,15082.48,518-74-2191,Reduced homogeneous encoding,2017-04-19,2014-01-13
17,2396.63,661-40-5953,Optimized national neural-net,2015-04-10,2013-05-09
18,7126.32,592-73-3004,Ameliorated demand-driven contingency,2016-10-06,2017-02-24
19,18530.74,876-03-9851,Upgradable homogeneous website,2017-06-22,2013-07-20
20,7164.10,260-87-6570,Expanded attitude-oriented neural-net,2016-04-30,2015-06-13
